iter	RMSE
0	10.4646708
1	10.42429187
2	10.3791202
3	10.34555379
4	10.30346833
5	10.26767262
6	10.23916143
7	10.19239488
8	10.15636961
9	10.13020586
10	10.08469371
11	10.05350077
12	10.00512254
13	9.968730547
14	9.942446641
15	9.911613857
16	9.891367754
17	9.858522432
18	9.824952141
19	9.792361865
20	9.768021413
21	9.729037954
22	9.696739342
23	9.675281096
24	9.649619379
25	9.631137098
26	9.607118658
27	9.584041096
28	9.554002455
29	9.525647047
30	9.499949487
31	9.488011253
32	9.460378773
33	9.433413536
34	9.413456534
35	9.391986953
36	9.358965974
37	9.345050439
38	9.31881758
39	9.298057921
40	9.273342621
41	9.258119962
42	9.238181402
43	9.200949009
44	9.175701243
45	9.153737523
46	9.130137211
47	9.09716525
48	9.072351882
49	9.051915862
50	9.037897475
51	9.011854254
52	8.993679443
53	8.98052779
54	8.946242874
55	8.925681422
56	8.902301512
57	8.883005585
58	8.869430014
59	8.852536413
60	8.824746956
61	8.813089599
62	8.787775449
63	8.77592204
64	8.76126325
65	8.742545314
66	8.722197672
67	8.708608699
68	8.687044332
69	8.668140023
70	8.647379396
71	8.610645245
72	8.600369957
73	8.592293215
74	8.573602663
75	8.551342609
76	8.537469273
77	8.525373939
78	8.514578858
79	8.485613102
80	8.476725941
81	8.463685419
82	8.441806645
83	8.433393951
84	8.411761978
85	8.391614415
86	8.374312687
87	8.361133708
88	8.341749096
89	8.32776886
90	8.310496622
91	8.298309552
92	8.288083971
93	8.270490766
94	8.258401385
95	8.247861225
96	8.233096368
97	8.216007095
98	8.203627303
99	8.194609497
100	8.174679618
101	8.159159465
102	8.146138853
103	8.125942993
104	8.114087426
105	8.099595248
106	8.084562979
107	8.06862756
108	8.049584566
109	8.041479465
110	8.037827331
111	8.022580222
112	8.014979975
113	8.005527869
114	7.989958863
115	7.974897822
116	7.958900229
117	7.945926875
118	7.934359588
119	7.915770869
120	7.901276245
121	7.889460444
122	7.876051085
123	7.863660023
124	7.848246379
125	7.841400271
126	7.830272856
127	7.812472261
128	7.802324465
129	7.789310233
130	7.773794475
131	7.76469831
132	7.757774989
133	7.74272507
134	7.734393438
135	7.716904541
136	7.700720432
137	7.689052559
138	7.665746685
139	7.658834891
140	7.639492097
141	7.629552537
142	7.610303531
143	7.596300867
144	7.582773604
145	7.564437059
146	7.547824001
147	7.536227816
148	7.527005807
149	7.522398837
150	7.503930866
151	7.48506428
152	7.466903647
153	7.45271726
154	7.44644336
155	7.440053017
156	7.435106618
157	7.429138942
158	7.413383639
159	7.407935813
160	7.401290327
161	7.386471521
162	7.375403077
163	7.357690988
164	7.344847347
165	7.332569692
166	7.318379366
167	7.308743225
168	7.301430439
169	7.289322703
170	7.275134838
171	7.25911365
172	7.244094098
173	7.235998459
174	7.219812561
175	7.213771993
176	7.207319098
177	7.20012009
178	7.194469481
179	7.184139223
180	7.173004835
181	7.148458318
182	7.140412496
183	7.135533051
184	7.124801005
185	7.106269108
186	7.093087128
187	7.087081815
188	7.077509943
189	7.067345853
190	7.047903374
191	7.030671422
192	7.017245347
193	7.001885915
194	6.994747476
195	6.986105491
196	6.974840938
197	6.959787976
198	6.943066295
199	6.931903795
200	6.921518208
201	6.917582005
202	6.91132805
203	6.903616082
204	6.895860072
205	6.886913634
206	6.86766907
207	6.862250798
208	6.854963519
209	6.847600528
210	6.842071023
211	6.827953568
212	6.818737744
213	6.803147811
214	6.797326524
215	6.787581427
216	6.783052366
217	6.762907971
218	6.757854588
219	6.749197656
220	6.744327007
221	6.735462368
222	6.724991097
223	6.712263908
224	6.695049605
225	6.690289347
226	6.67662293
227	6.671076685
228	6.658501454
229	6.637340372
230	6.632432191
231	6.616843313
232	6.597664332
233	6.578049565
234	6.567461468
235	6.550691541
236	6.529397818
237	6.506441423
238	6.499266697
239	6.493012182
240	6.488370221
241	6.476889228
242	6.471230062
243	6.461404091
244	6.450912846
245	6.447387561
246	6.444356702
247	6.428663665
248	6.424373258
249	6.41615368
250	6.410707409
251	6.394378331
252	6.380097383
253	6.376788609
254	6.372772348
255	6.362428864
256	6.340634216
257	6.324516166
258	6.307780152
259	6.304369187
260	6.300531733
261	6.283363558
262	6.264532825
263	6.260755988
264	6.257232127
265	6.245177842
266	6.221577051
267	6.217118478
268	6.210402819
269	6.194743168
270	6.184773757
271	6.172045789
272	6.167874574
273	6.152192587
274	6.144025136
275	6.135563377
276	6.120424785
277	6.107978823
278	6.088069285
279	6.075991438
280	6.061619282
281	6.04778477
282	6.044656364
283	6.030961453
284	6.027782805
285	6.010210086
286	5.988083108
287	5.971529107
288	5.966549394
289	5.961230538
290	5.935324457
291	5.923016433
292	5.912165651
293	5.899160468
294	5.890430234
295	5.871949437
296	5.85544654
297	5.844204037
298	5.828533846
299	5.819633568
300	5.816126507
301	5.812659139
302	5.798302177
303	5.789548517
304	5.78045671
305	5.770803832
306	5.763724532
307	5.753871575
308	5.748793231
309	5.740772261
310	5.727882798
311	5.711249066
312	5.700580326
313	5.693563288
314	5.684766049
315	5.678256005
316	5.673263553
317	5.665326472
318	5.642732377
319	5.634355833
320	5.631555962
321	5.628789345
322	5.626182557
323	5.620797209
324	5.608730862
325	5.588912737
326	5.585962754
327	5.571203216
328	5.555279728
329	5.552699162
330	5.531961315
331	5.51518536
332	5.511028213
333	5.503663722
334	5.488283975
335	5.473846445
336	5.468217912
337	5.464157366
338	5.461465934
339	5.458819909
340	5.447458233
341	5.436990476
342	5.429632799
343	5.425121121
344	5.411581026
345	5.405152939
346	5.397399196
347	5.383708696
348	5.37721753
349	5.365630098
350	5.351520279
351	5.344531305
352	5.338762374
353	5.323900018
354	5.313161116
355	5.301683158
356	5.291786552
357	5.282241483
358	5.27859567
359	5.272260747
360	5.262548665
361	5.25171258
362	5.237265918
363	5.230565714
364	5.219360158
365	5.209754302
366	5.19671255
367	5.180279625
368	5.168606777
369	5.164965072
370	5.159875351
371	5.152998781
372	5.148484713
373	5.141428508
374	5.131059683
375	5.1284918
376	5.119059363
377	5.115072234
378	5.105141672
379	5.091989725
380	5.086377311
381	5.082680159
382	5.065998985
383	5.06114257
384	5.058612883
385	5.044495193
386	5.03026309
387	5.024452681
388	5.019768878
389	5.01345311
390	5.004261979
391	4.990226313
392	4.976387404
393	4.958173564
394	4.936866072
395	4.926710724
396	4.913121314
397	4.89964778
398	4.894737756
399	4.888462294
400	4.882413479
401	4.874036546
402	4.871653896
403	4.864220516
404	4.860818853
405	4.849842515
406	4.836064055
407	4.818867543
408	4.807772479
409	4.79355015
410	4.790072774
411	4.786118429
412	4.772590834
413	4.763311206
414	4.752950468
415	4.749288122
416	4.744267687
417	4.730978902
418	4.721182018
419	4.719042382
420	4.71505542
421	4.707348783
422	4.701062946
423	4.689006401
424	4.6857067
425	4.682926492
426	4.680690503
427	4.669000132
428	4.664174343
429	4.65375245
430	4.650705283
431	4.639752104
432	4.638115333
433	4.62966592
434	4.622170863
435	4.607033331
436	4.596185166
437	4.588276989
438	4.584351818
439	4.574176137
440	4.565414257
441	4.555844183
442	4.552639663
443	4.543414782
444	4.536146354
445	4.530199441
446	4.528175922
447	4.522011149
448	4.515971687
449	4.513028098
450	4.506232602
451	4.492799108
452	4.483903981
453	4.47333026
454	4.467335077
455	4.453817793
456	4.450064028
457	4.434946466
458	4.422466946
459	4.413641798
460	4.410308331
461	4.406982698
462	4.398464262
463	4.386781936
464	4.384716893
465	4.38179256
466	4.376023362
467	4.373494264
468	4.371476047
469	4.361709797
470	4.351182776
471	4.349376878
472	4.34548682
473	4.342236065
474	4.329195289
475	4.31936672
476	4.315650759
477	4.303749584
478	4.293729248
479	4.288325204
480	4.283874177
481	4.276412147
482	4.268358399
483	4.255488677
484	4.2535018
485	4.247593427
486	4.234473491
487	4.232004356
488	4.224435601
489	4.22176397
490	4.218825104
491	4.20585663
492	4.192707539
493	4.180823581
494	4.176792517
495	4.170123119
496	4.160212279
497	4.150747627
498	4.143364824
499	4.136392451
500	4.130127748
501	4.124245795
502	4.107471578
503	4.104768702
504	4.097106111
505	4.08929545
506	4.082643911
507	4.070187588
508	4.068378729
509	4.058835508
510	4.047019117
511	4.045139667
512	4.038519068
513	4.029532459
514	4.018527691
515	4.01668864
516	4.00578067
517	3.998522226
518	3.987869989
519	3.981939897
520	3.97961148
521	3.969636887
522	3.959308954
523	3.95280841
524	3.947438493
525	3.944595354
526	3.939875077
527	3.929009568
528	3.922736225
529	3.917271651
530	3.915577194
531	3.904499571
532	3.898001287
533	3.887751445
534	3.885344367
535	3.878050534
536	3.873765699
537	3.866695534
538	3.864754185
539	3.854427403
540	3.843705703
541	3.841986241
542	3.840473092
543	3.838407235
544	3.828803686
545	3.825265285
546	3.819187848
547	3.808931656
548	3.797953073
549	3.793066548
550	3.784754881
551	3.777692931
552	3.771499246
553	3.766271841
554	3.756888308
555	3.749956539
556	3.736308161
557	3.726196518
558	3.718360567
559	3.715627012
560	3.706312491
561	3.703780235
562	3.697635519
563	3.690625072
564	3.686241889
565	3.673780211
566	3.67019067
567	3.661453145
568	3.658003549
569	3.650315063
570	3.645905159
571	3.638555652
572	3.631260847
573	3.62244582
574	3.614458716
575	3.607513608
576	3.599443695
577	3.59570917
578	3.593222534
579	3.582119336
580	3.579449106
581	3.575714952
582	3.571471479
583	3.569460362
584	3.561915657
585	3.555017835
586	3.546603552
587	3.536441735
588	3.527865287
589	3.522677387
590	3.514872873
591	3.504596758
592	3.499358559
593	3.496935574
594	3.489881695
595	3.486538295
596	3.477909829
597	3.468246681
598	3.461460612
599	3.45475116
600	3.452656065
601	3.446317367
602	3.444681184
603	3.440702732
604	3.431026496
605	3.427556194
606	3.426224763
607	3.418844004
608	3.412769262
609	3.404726985
610	3.401601043
611	3.399295045
612	3.389907614
613	3.382954427
614	3.377227035
615	3.375417253
616	3.372915992
617	3.370460888
618	3.367942387
619	3.359912312
620	3.35313384
621	3.341174583
622	3.339587618
623	3.334914939
624	3.329754951
625	3.32854746
626	3.323288733
627	3.317830598
628	3.313714206
629	3.311468204
630	3.303110492
631	3.294440114
632	3.287728033
633	3.28048295
634	3.275751665
635	3.274271502
636	3.269997855
637	3.263973182
638	3.257012071
639	3.251860233
640	3.243703158
