iter	Passed	Remaining
0	5	5410
1	8	4126
2	11	3760
3	14	3564
4	17	3465
5	20	3345
6	23	3270
7	26	3230
8	28	3193
9	31	3167
10	34	3141
11	37	3118
12	40	3098
13	43	3097
14	47	3090
15	49	3063
16	53	3067
17	55	3049
18	58	3042
19	61	3029
20	65	3046
21	68	3065
22	71	3052
23	74	3043
24	77	3028
25	80	3012
26	83	3005
27	86	2998
28	89	2986
29	92	2995
30	96	3004
31	99	3008
32	103	3019
33	107	3049
34	113	3141
35	118	3166
36	123	3217
37	127	3217
38	129	3201
39	133	3197
40	136	3191
41	139	3176
42	143	3196
43	147	3197
44	151	3216
45	157	3272
46	161	3281
47	164	3272
48	167	3259
49	170	3245
50	173	3235
51	176	3223
52	179	3211
53	182	3203
54	185	3191
55	188	3177
56	191	3169
57	194	3160
58	197	3152
59	200	3147
60	203	3136
61	206	3129
62	209	3118
63	212	3107
64	215	3106
65	218	3096
66	221	3087
67	224	3078
68	228	3076
69	231	3073
70	234	3064
71	237	3057
72	240	3049
73	243	3042
74	246	3035
75	248	3026
76	251	3018
77	254	3010
78	258	3011
79	261	3004
80	264	2996
81	267	2990
82	270	2984
83	273	2978
84	276	2972
85	279	2972
86	282	2965
87	285	2959
88	288	2953
89	291	2945
90	294	2937
91	297	2931
92	299	2925
93	302	2917
94	305	2914
95	309	2912
96	312	2908
97	315	2901
98	318	2894
99	320	2888
100	323	2882
101	326	2876
102	329	2871
103	332	2866
104	335	2861
105	338	2856
106	342	2854
107	345	2851
108	348	2847
109	351	2841
110	354	2836
111	357	2831
112	360	2830
113	363	2825
114	366	2819
115	369	2816
116	373	2817
117	378	2827
118	382	2830
119	389	2853
120	393	2859
121	398	2870
122	403	2875
123	408	2885
124	413	2897
125	417	2895
126	420	2892
127	424	2889
128	427	2884
129	429	2877
130	432	2871
131	435	2866
132	438	2861
133	442	2858
134	446	2857
135	449	2857
136	454	2865
137	458	2865
138	462	2862
139	465	2857
140	468	2852
141	471	2849
142	474	2842
143	477	2838
144	480	2832
145	483	2827
146	486	2821
147	489	2818
148	492	2812
149	495	2807
150	498	2801
151	501	2796
152	504	2791
153	507	2785
154	509	2780
155	512	2774
156	515	2768
157	518	2763
158	521	2758
159	525	2756
160	528	2751
161	530	2745
162	534	2745
163	537	2740
164	540	2735
165	543	2730
166	546	2725
167	549	2721
168	552	2715
169	555	2709
170	557	2704
171	560	2699
172	563	2694
173	567	2692
174	570	2687
175	572	2682
176	575	2677
177	578	2672
178	581	2668
179	584	2662
180	587	2658
181	590	2653
182	593	2649
183	596	2644
184	599	2640
